time,temp,est,door,compressor
205,2.94477,395.506,0,0
206,2.9694,364.649,0,0
207,2.8708,347.567,0,0
208,3.04324,332.221,0,0
209,3.04324,324.098,0,0
210,3.33765,312.516,0,0
211,3.04324,308.071,0,0
212,3.19064,300.003,0,0
213,2.7473,304.562,0,0
214,2.8708,309.035,0,0
215,2.84612,325.566,0,0
216,3.06784,330.656,0,0
217,3.01864,338.209,0,0
218,3.26419,335.215,0,0
219,3.19064,328.621,0,0
220,3.09242,318.971,0,0
221,2.49946,329.449,0,0
222,3.14155,328.927,0,0
223,3.06784,339.114,0,0
224,3.33765,342.503,0,0
225,2.84612,356.707,0,0
226,3.09242,366.673,0,0
227,3.19064,379.491,0,0
228,3.06784,385.529,0,0
229,3.21517,386.916,0,0
230,3.26419,379.864,0,0
231,3.04324,371.138,0,0
232,2.79673,373.2,0,0
233,2.67307,397.143,0,0
234,2.59873,432.369,0,0
235,2.67307,485.174,0,0
236,2.84612,548.505,0,0
237,2.8708,628.632,0,0
238,3.04324,756.124,0,0
239,3.04324,927.995,0,0
240,3.1661,1057.69,0,0
241,2.77202,1358.04,0,0
242,3.04324,2040.37,0,0
243,2.62352,3600,0,0
244,2.79673,3600,0,0
245,3.04324,3600,0,0
246,3.06784,3600,0,0
247,2.9694,3600,0,0
248,3.09242,3600,0,0
249,3.04324,3600,0,0
250,3.04324,3600,0,0
251,3.09242,3600,0,0
252,2.99403,3600,0,0
253,3.21517,3600,0,0
254,2.9694,3600,0,0
255,2.8708,3600,0,0
256,2.89547,3600,0,0
257,3.28869,3600,0,0
258,3.06784,3600,0,0
259,2.92012,3600,0,0
260,2.62352,3600,0,0
261,2.99403,3600,0,0
262,3.36211,3600,0,0
263,3.48428,3600,0,0
264,2.67307,3600,0,0
265,3.21517,3600,0,0
266,2.77202,3600,0,0
267,2.6483,3600,0,0
268,2.94477,3600,0,0
269,3.31317,3600,0,0
270,3.11699,3600,0,0
271,3.06784,3600,0,0
272,3.23969,3600,0,0
273,3.14155,3600,0,0
274,3.31317,3600,0,0
275,2.89547,3600,0,0
276,3.11699,3600,0,0
277,3.26419,3113.7,0,0
278,3.09242,1845.07,0,0
279,3.04324,1275.45,0,0
280,2.7473,1044.11,0,0
281,3.48428,890.741,0,0
282,2.79673,811.308,0,0
283,2.9694,748.127,0,0
284,3.06784,661.051,0,0
285,3.33765,582.924,0,0
286,2.9694,529.173,0,0
287,2.99403,480.877,0,0
288,3.11699,436.722,0,0
289,3.19064,389.944,0,0
290,3.19064,344.226,0,0
291,2.9694,313.05,0,0
292,3.23969,287.493,0,0
293,3.26419,269.056,0,0
294,2.99403,262.636,0,0
295,3.21517,258.412,0,0
296,3.23969,254.579,0,0
297,3.50868,245.787,0,0
298,2.8708,244.642,0,0
299,2.94477,244.903,0,0
300,3.14155,241.479,0,0
301,2.72256,248.969,0,0
302,3.28869,249.541,0,0
303,3.45987,249.512,0,0
304,3.26419,251.868,0,0
305,3.01864,257.039,0,0
306,3.23969,258.275,0,0
307,3.43545,254.64,0,0
308,3.14155,252.492,0,0
309,2.9694,254.12,0,0
310,3.11699,255.007,0,0
311,2.92012,259.626,0,0
312,3.41101,257.314,0,0
313,3.11699,255.031,0,0
314,3.45987,247.463,0,0
315,3.36211,241.112,0,0
316,3.09242,240.265,0,0
317,3.04324,238.459,0,0
318,3.28869,233.683,0,0
319,3.06784,233.771,0,0
320,3.26419,237.094,0,0
321,3.36211,238.225,0,0
322,2.99403,240.306,0,0
323,3.06784,237.791,0,0
324,3.04324,242.664,0,0
325,3.04324,247.134,0,0
326,2.92012,260.43,0,0
327,2.82143,288.298,0,0
328,2.9694,325.398,0,0
329,3.23969,356.539,0,0
330,3.09242,393.442,0,0
331,2.82143,452.907,0,0
332,3.1661,509.196,0,0
333,3.23969,562.671,0,0
334,3.33765,587.14,0,0
335,2.9694,651.833,0,0
336,3.1661,715.863,0,0
337,3.14155,765.086,0,0
338,3.36211,781.958,0,0
339,2.8708,861.501,0,0
340,2.94477,1073.44,0,0
341,2.8708,1335,0,0
342,3.04324,1999.86,0,0
343,3.60619,2838.84,0,0
344,3.36211,3600,0,0
345,2.82143,3600,0,0
346,3.19064,3600,0,0
347,2.84612,3600,0,0
348,3.48428,3600,0,0
349,3.09242,3600,0,0
350,3.19064,3600,0,0
351,3.26419,3600,0,0
352,3.43545,3600,0,0
353,3.11699,3600,0,0
354,2.84612,3600,0,0
355,3.1661,3600,0,0
356,2.82143,3600,0,0
357,3.36211,3600,0,0
358,3.50868,3600,0,0
359,3.41101,3600,0,0
360,3.11699,3600,0,0
361,3.04324,3600,0,0
362,3.43545,3600,0,0
363,3.23969,3600,0,0
364,3.28869,3600,0,0
365,2.8708,3600,0,0
366,3.09242,3600,0,0
367,3.41101,3383.86,0,0
368,3.36211,1928.14,0,0
369,3.11699,1499.63,0,0
370,3.23969,1228.05,0,0
371,2.92012,1204.1,0,0
372,3.63054,967.959,0,0
373,3.36211,800.149,0,0
374,2.92012,692.129,0,0
375,2.99403,612.152,0,0
