time,temp,est,door,compressor
285,3.21517,467.422,0,0
286,3.01864,707.092,0,0
287,3.04324,668.175,0,0
288,3.09242,599.553,0,0
289,3.14155,544.017,0,0
290,3.14155,546.751,0,0
291,3.04324,683.782,0,0
292,3.1661,525.825,0,0
293,3.19064,504.675,0,0
294,3.04324,696.512,0,0
295,3.1661,533.282,0,0
296,3.1661,535.962,0,0
297,3.31317,418.212,0,0
298,2.99403,820.364,0,0
299,3.04324,718.498,0,0
300,3.14155,573.981,0,0
301,2.92012,1076.96,0,0
302,3.21517,500.879,0,0
303,3.28869,443.7,0,0
304,3.21517,506.268,0,0
305,3.06784,699.41,0,0
306,3.19064,535.034,0,0
307,3.28869,451.236,0,0
308,3.14155,598.744,0,0
309,3.04324,766.62,0,0
310,3.14155,604.124,0,0
311,3.04324,775.418,0,0
312,3.28869,459.673,0,0
313,3.14155,613.614,0,0
314,3.31317,445.346,0,0
315,3.26419,486.346,0,0
316,3.14155,624.988,0,0
317,3.11699,665.446,0,0
318,3.23969,515.127,0,0
319,3.11699,673.16,0,0
320,3.21517,544.956,0,0
321,3.28869,477.76,0,0
322,3.09242,730.388,0,0
323,3.14155,648.973,0,0
324,3.11699,692.562,0,0
325,3.11699,696.043,0,0
326,3.06784,799.47,0,0
327,3.01864,938.343,0,0
328,3.09242,752.672,0,0
329,3.21517,565.55,0,0
330,3.1661,632.523,0,0
331,3.01864,964.329,0,0
332,3.19064,603.469,0,0
333,3.23969,547.316,0,0
334,3.28869,500.975,0,0
335,3.09242,785.778,0,0
336,3.19064,616.021,0,0
337,3.19064,619.117,0,0
338,3.31317,487.192,0,0
339,3.06784,869.223,0,0
340,3.09242,810.338,0,0
341,3.06784,878.325,0,0
342,3.14155,713.879,0,0
343,3.43545,406.141,0,0
344,3.31317,498.657,0,0
345,3.04324,986.125,0,0
346,3.23969,580.337,0,0
347,3.06784,917.591,0,0
348,3.38657,445.824,0,0
349,3.19064,658.086,0,0
350,3.23969,591.625,0,0
351,3.26419,564.687,0,0
352,3.36211,472.139,0,0
353,3.19064,673.825,0,0
354,3.06784,970.656,0,0
355,3.23969,606.137,0,0
356,3.06784,983.447,0,0
357,3.33765,501.859,0,0
358,3.41101,444.577,0,0
359,3.36211,485.362,0,0
360,3.21517,659.708,0,0
361,3.19064,704.687,0,0
362,3.38657,470.757,0,0
363,3.28869,568.895,0,0
364,3.31317,544.065,0,0
365,3.09242,974.361,0,0
366,3.21517,681.47,0,0
367,3.38657,480.038,0,0
368,3.36211,504.069,0,0
369,3.23969,654.078,0,0
